Evacuation Name,EVACUEES
宮城県仙台市宮城野区福田町南一丁目,317
宮城県仙台市宮城野区福田町南二丁目,55
宮城県仙台市宮城野区福室字田中東一番,931
宮城県仙台市宮城野区福室字県道前,0
宮城県仙台市宮城野区枡江,608
宮城県仙台市宮城野区松岡町,214
宮城県仙台市宮城野区港一丁目,0
宮城県仙台市宮城野区港二丁目,0
宮城県仙台市宮城野区港三丁目,0
宮城県仙台市宮城野区港四丁目,0
宮城県仙台市宮城野区港五丁目,0
宮城県仙台市宮城野区南目館,1684
宮城県仙台市宮城野区宮城野一丁目,1742
宮城県仙台市宮城野区宮城野二丁目,1669
宮城県仙台市宮城野区宮城野三丁目,1157
宮城県仙台市宮城野区宮千代一丁目,1810
宮城県仙台市宮城野区宮千代二丁目,1210
宮城県仙台市宮城野区宮千代三丁目,1056
宮城県仙台市宮城野区元寺小路,327
宮城県仙台市宮城野区仙石,843
宮城県仙台市宮城野区高砂一丁目,2349
宮城県仙台市宮城野区高砂二丁目,886
宮城県仙台市宮城野区白鳥一丁目,1856
宮城県仙台市宮城野区白鳥二丁目,1083
宮城県仙台市宮城野区新田一丁目,2104
宮城県仙台市宮城野区新田二丁目,2041
宮城県仙台市宮城野区新田三丁目,1826
宮城県仙台市宮城野区新田四丁目,2937
宮城県仙台市宮城野区新田五丁目,1235
宮城県仙台市宮城野区福室一丁目,821
宮城県仙台市宮城野区福室二丁目,2100
宮城県仙台市宮城野区福室三丁目,3010
宮城県仙台市宮城野区福室四丁目,1213
宮城県仙台市宮城野区福室五丁目,2188
宮城県仙台市宮城野区福室六丁目,2148
宮城県仙台市宮城野区福室七丁目,1236
宮城県仙台市宮城野区二十人町通,2
宮城県仙台市宮城野区新田東一丁目,1096
宮城県仙台市宮城野区新田東二丁目,3327
宮城県仙台市宮城野区新田東三丁目,1112
宮城県仙台市宮城野区新田東四丁目,296
宮城県仙台市宮城野区新田東五丁目,557
宮城県仙台市宮城野区仙台港北一丁目,0
宮城県仙台市宮城野区仙台港北二丁目,0
宮城県仙台市宮城野区鉄砲町中,901
宮城県仙台市宮城野区鉄砲町西,544
宮城県仙台市宮城野区鉄砲町東,1141
宮城県仙台市若林区荒井,1251
宮城県仙台市若林区荒浜,212
宮城県仙台市若林区荒浜新一丁目,0
宮城県仙台市若林区荒浜新二丁目,0
宮城県仙台市若林区荒町,1016
宮城県仙台市若林区飯田,232
宮城県仙台市若林区石垣町,232
宮城県仙台市若林区石名坂,1054
宮城県仙台市若林区五橋,1756
宮城県仙台市若林区一本杉町,2092
宮城県仙台市若林区井土,19
宮城県仙台市若林区今泉,709
宮城県仙台市若林区裏柴田町,331
宮城県仙台市若林区沖野,26
宮城県仙台市若林区沖野一丁目,1332
宮城県仙台市若林区沖野二丁目,2176
宮城県仙台市若林区沖野三丁目,2193
宮城県仙台市若林区沖野四丁目,277
宮城県仙台市若林区沖野五丁目,479
宮城県仙台市若林区沖野六丁目,2717
宮城県仙台市若林区沖野七丁目,2167
宮城県仙台市若林区表柴田町,638
宮城県仙台市若林区卸町東一丁目,0
宮城県仙台市若林区卸町東二丁目,0
宮城県仙台市若林区卸町東三丁目,0
宮城県仙台市若林区卸町東四丁目,0
宮城県仙台市若林区卸町東五丁目,2
宮城県仙台市若林区卸町一丁目,10
宮城県仙台市若林区卸町二丁目,276
宮城県仙台市若林区卸町三丁目,171
宮城県仙台市若林区卸町四丁目,0
宮城県仙台市若林区卸町五丁目,1
宮城県仙台市若林区霞目谷風,2
宮城県仙台市若林区霞目一丁目,314
宮城県仙台市若林区霞目二丁目,1972
宮城県仙台市若林区蒲町,1829
宮城県仙台市若林区上飯田,149
宮城県仙台市若林区河原町一丁目,1974
宮城県仙台市若林区河原町二丁目,1558
宮城県仙台市若林区木ノ下一丁目,1181
宮城県仙台市若林区木ノ下二丁目,743
宮城県仙台市若林区木ノ下三丁目,234
宮城県仙台市若林区木ノ下四丁目,772
宮城県仙台市若林区木ノ下五丁目,508
宮城県仙台市若林区穀町,288
宮城県仙台市若林区椌木通,418
宮城県仙台市若林区五十人町,951
宮城県仙台市若林区三百人町,1052
宮城県仙台市若林区三本塚,254
宮城県仙台市若林区清水小路,630
宮城県仙台市若林区下飯田,183
宮城県仙台市若林区白萩町,1069
宮城県仙台市若林区志波町,932
宮城県仙台市若林区新寺一丁目,2187
宮城県仙台市若林区新寺二丁目,559
宮城県仙台市若林区新寺三丁目,1258
宮城県仙台市若林区新寺四丁目,1054
宮城県仙台市若林区新寺五丁目,404
宮城県仙台市若林区新弓ノ町,364
宮城県仙台市若林区畳屋丁,447
宮城県仙台市若林区種次,212
宮城県仙台市若林区長喜城,356
宮城県仙台市若林区土樋,1760
宮城県仙台市若林区鶴代町,1
宮城県仙台市若林区遠見塚東,444
宮城県仙台市若林区遠見塚一丁目,1697
宮城県仙台市若林区遠見塚二丁目,2337
宮城県仙台市若林区遠見塚三丁目,836
宮城県仙台市若林区堰場,168
宮城県仙台市若林区中倉一丁目,1349
宮城県仙台市若林区中倉二丁目,2551
宮城県仙台市若林区中倉三丁目,1557
宮城県仙台市若林区成田町,1198
宮城県仙台市若林区二軒茶屋,1205
宮城県仙台市若林区西新丁,180
宮城県仙台市若林区日辺,752
宮城県仙台市若林区八軒小路,174
宮城県仙台市若林区東新丁,182
宮城県仙台市若林区東七番丁,209
宮城県仙台市若林区東八番丁,478
宮城県仙台市若林区東九番丁,236
宮城県仙台市若林区藤塚,0
宮城県仙台市若林区二木,168
宮城県仙台市若林区舟丁,301
宮城県仙台市若林区古城一丁目,1749
宮城県仙台市若林区古城二丁目,945
宮城県仙台市若林区古城三丁目,1345
宮城県仙台市若林区文化町,1948
宮城県仙台市若林区保春院前丁,840
宮城県仙台市若林区南石切町,335
宮城県仙台市若林区南鍛冶町,890
宮城県仙台市若林区南小泉,597
宮城県仙台市若林区南小泉一丁目,647
宮城県仙台市若林区南小泉二丁目,896
宮城県仙台市若林区南小泉三丁目,1596
宮城県仙台市若林区南小泉四丁目,1118
宮城県仙台市若林区南材木町,656
宮城県仙台市若林区南染師町,961
宮城県仙台市若林区元茶畑,327
宮城県仙台市若林区大和町一丁目,1489
宮城県仙台市若林区大和町二丁目,1466
宮城県仙台市若林区大和町三丁目,869
宮城県仙台市若林区大和町四丁目,2185
宮城県仙台市若林区大和町五丁目,4728
宮城県仙台市若林区弓ノ町,370
宮城県仙台市若林区連坊小路,1515
宮城県仙台市若林区連坊一丁目,1223
宮城県仙台市若林区連坊二丁目,1014
宮城県仙台市若林区六十人町,558
宮城県仙台市若林区六丁の目,32
宮城県仙台市若林区六丁の目北町,760
