Name,Address,Capacity
南中山小学校,仙台市泉区南中山2-24-14,4144
虹の丘小学校,仙台市泉区虹の丘1-10-1,4351
長命ケ丘中学校,仙台市泉区長命ケ丘2-11-1,3346
加茂中学校,仙台市泉区加茂3-1,6248
館小学校,仙台市泉区館7-1-17,4040
住吉台小学校,仙台市泉区住吉台西4-1-1,5372
野村小学校,仙台市泉区野村字東原前7,400
福岡小学校,仙台市泉区福岡字堰添10,533
高森中学校,仙台市泉区高森6-2,5583
泉松陵小学校,仙台市泉区松陵3-35,5017
北中山小学校,仙台市泉区北中山2-27-5,7637
桂小学校,仙台市泉区桂3-1-1,3626
鶴が丘中学校,仙台市泉区鶴が丘2-1-1,4936
松陵中学校,仙台市泉区松陵5-32,2921
南光台東中学校,仙台市泉区南光台東3-1-1,3327
向陽台中学校,仙台市泉区市名坂字天神沢38-4,6618
将監東中学校,仙台市泉区将監3丁目2-15,5121
将監中学校,仙台市泉区将監9丁目12-1,6882
将監西小学校,仙台市泉区将監10丁目29-1,2664
高森東小学校,仙台市泉区高森7-1-1,4262
長命ケ丘小学校,仙台市泉区長命ケ丘5-14-1,4736
南中山中学校,仙台市泉区南中山2-26-1,10056
寺岡小学校,仙台市泉区寺岡2-14-1,9265
住吉台中学校,仙台市泉区住吉台西4-1-2,2976
根白石中学校,仙台市泉区根白石字東鹿野54,1405
館中学校,仙台市泉区館6-17-1,3457
仙台商業高等学校,仙台市泉区七北田字古内75,24328
市名坂小学校,仙台市泉区市名坂字高玉1,7800
高砂市民センター,仙台市宮城野区高砂一丁目24-9,240
岩切東コミュニティ・センター,仙台市宮城野区岩切字青津目137-8,145
